Match,Team,Rank,Total Points,Placement Points,Kills
15,Tianba Esports,1,16,10,6
16,Luminosity Gaming,2,15,4,11
16,Petrichor Road,3,13,6,7
16,FaZe Clan,4,12,5,7
16,Gen.G,5,10,3,7
16,Cerberus Esports,6,7,1,6
16,Tianba Esports,7,5,2,3
16,NH-ESPORTS,8,5,1,4
16,Soniqs,9,2,0,2
16,V7 FUNPIN,10,2,0,2
16,Daytrade Gaming,11,1,0,1
16,17Gaming,12,1,0,1
16,TYLOO,13,1,0,1
16,Twisted Minds,14,1,0,1
16,Spacestation Gaming,15,0,0,0
16,THEERATHON FIVE,16,0,0,0
16,Danawa e-sports,1,17,10,7
17,Petrichor Road,2,21,6,15
17,THEERATHON FIVE,3,11,5,6
17,FaZe Clan,4,10,2,8
17,Twisted Minds,5,8,4,4
17,Spacestation Gaming,6,6,3,3
17,Tianba Esports,7,5,1,4
17,Daytrade Gaming,8,4,0,4
17,TYLOO,9,4,0,4
17,Cerberus Esports,10,2,2,0
17,Danawa e-sports,11,1,1,0
17,Gen.G,12,1,0,1
17,NH-ESPORTS,13,1,0,1
17,Luminosity Gaming,14,0,0,0
17,Soniqs,15,0,0,0
17,V7 FUNPIN,16,0,0,0
17,17Gaming,1,23,10,13
18,Gen.G,2,13,6,7
18,Tianba Esports,3,10,5,5
18,Petrichor Road,4,9,4,5
18,Daytrade Gaming,5,9,3,6
18,TYLOO,6,6,2,4
18,17Gaming,7,6,0,6
18,NH-ESPORTS,8,5,1,4
18,Cerberus Esports,9,2,0,2
18,Danawa e-sports,10,2,0,2
18,V7 FUNPIN,11,2,1,1
18,THEERATHON FIVE,12,1,1,0
18,Luminosity Gaming,13,1,0,1
18,FaZe Clan,14,1,0,1
18,Soniqs,15,1,0,1
18,Twisted Minds,16,0,0,0
18,Spacestation Gaming,1,19,10,9
